route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,jp_trip_desc
101001,平日,2平日_06時24分_系統101001,豊田市,,,101001,
101001,平日,2平日_06時44分_系統101001,豊田市,,,101001,
101001,平日,2平日_17時14分_系統101001,豊田市,,,101001,
101001,平日,2平日_18時29分_系統101001,豊田市,,,101001,
101001,平日,2平日_20時49分_系統101001,豊田市,,,101001,
101001,土日祝,3土日祝_07時04分_系統101001,豊田市,,,101001,
101001,土日祝,3土日祝_17時49分_系統101001,豊田市,,,101001,
101001,土日祝,3土日祝_18時49分_系統101001,豊田市,,,101001,
101001,土日祝,3土日祝_19時49分_系統101001,豊田市,,,101001,
101002,平日,2平日_07時30分_系統101002,豊田市,,,101002,
101002,平日,2平日_09時21分_系統101002,豊田市,,,101002,
101002,平日,2平日_10時39分_系統101002,豊田市,,,101002,
101002,平日,2平日_11時21分_系統101002,豊田市,,,101002,
101002,平日,2平日_12時21分_系統101002,豊田市,,,101002,
101002,平日,2平日_14時26分_系統101002,豊田市,,,101002,
101002,平日,2平日_16時26分_系統101002,豊田市,,,101002,
101003,土日祝,3土日祝_08時41分_系統101003,豊田市,,,101003,
101003,土日祝,3土日祝_09時42分_系統101003,豊田市,,,101003,
101003,土日祝,3土日祝_10時46分_系統101003,豊田市,,,101003,
101003,土日祝,3土日祝_12時46分_系統101003,豊田市,,,101003,
101003,土日祝,3土日祝_14時29分_系統101003,豊田市,,,101003,
101003,土日祝,3土日祝_16時41分_系統101003,豊田市,,,101003,
102001,平日,2平日_07時40分_系統102001,藤岡支所,,,102001,
102001,平日,2平日_18時10分_系統102001,藤岡支所,,,102001,
102001,平日,2平日_19時20分_系統102001,藤岡支所,,,102001,
102001,平日,2平日_20時40分_系統102001,藤岡支所,,,102001,
102001,平日,2平日_21時50分_系統102001,藤岡支所,,,102001,
102001,土日祝,3土日祝_07時40分_系統102001,藤岡支所,,,102001,
102001,土日祝,3土日祝_17時50分_系統102001,藤岡支所,,,102001,
102001,土日祝,3土日祝_18時50分_系統102001,藤岡支所,,,102001,
102001,土日祝,3土日祝_19時50分_系統102001,藤岡支所,,,102001,
102002,平日,2平日_08時30分_系統102002,藤岡支所,,,102002,
102002,平日,2平日_09時40分_系統102002,藤岡支所,,,102002,
102002,平日,2平日_10時25分_系統102002,藤岡支所,,,102002,
102002,平日,2平日_11時50分_系統102002,藤岡支所,,,102002,
102002,平日,2平日_13時35分_系統102002,藤岡支所,,,102002,
102002,平日,2平日_15時40分_系統102002,藤岡支所,,,102002,
102003,平日,2平日_17時10分_系統102003,藤岡支所,,,102003,
102003,土日祝,3土日祝_08時40分_系統102003,藤岡支所,,,102003,
102003,土日祝,3土日祝_09時40分_系統102003,藤岡支所,,,102003,
102003,土日祝,3土日祝_10時40分_系統102003,藤岡支所,,,102003,
102003,土日祝,3土日祝_12時40分_系統102003,藤岡支所,,,102003,
102003,土日祝,3土日祝_14時40分_系統102003,藤岡支所,,,102003,
102003,土日祝,3土日祝_16時40分_系統102003,藤岡支所,,,102003,
111001,平日,2平日_05時55分_系統111001,豊田市,,,111001,
111001,平日,2平日_06時10分_系統111001,豊田市,,,111001,
111001,平日,2平日_06時55分_系統111001,豊田市,,,111001,
111001,平日,2平日_17時25分_系統111001,豊田市,,,111001,
111001,平日,2平日_18時25分_系統111001,豊田市,,,111001,
111001,平日,2平日_19時25分_系統111001,豊田市,,,111001,
111001,平日,2平日_21時01分_系統111001,豊田市,,,111001,
111001,土日祝,3土日祝_06時25分_系統111001,豊田市,,,111001,
111001,土日祝,3土日祝_07時15分_系統111001,豊田市,,,111001,
111001,土日祝,3土日祝_17時20分_系統111001,豊田市,,,111001,
111001,土日祝,3土日祝_18時20分_系統111001,豊田市,,,111001,
111001,土日祝,3土日祝_19時49分_系統111001,豊田市,,,111001,
111002,平日,2平日_09時00分_系統111002,豊田市,,,111002,
111002,平日,2平日_10時20分_系統111002,豊田市,,,111002,
111002,平日,2平日_12時20分_系統111002,豊田市,,,111002,
111002,平日,2平日_14時20分_系統111002,豊田市,,,111002,
111002,平日,2平日_16時15分_系統111002,豊田市,,,111002,
111002,土日祝,3土日祝_08時20分_系統111002,豊田市,,,111002,
111002,土日祝,3土日祝_10時20分_系統111002,豊田市,,,111002,
111002,土日祝,3土日祝_12時20分_系統111002,豊田市,,,111002,
111002,土日祝,3土日祝_14時20分_系統111002,豊田市,,,111002,
111002,土日祝,3土日祝_16時15分_系統111002,豊田市,,,111002,
112001,平日,2平日_07時10分_系統112001,上仁木,,,112001,
112001,平日,2平日_16時40分_系統112001,上仁木,,,112001,
112001,平日,2平日_17時20分_系統112001,上仁木,,,112001,
112001,平日,2平日_17時40分_系統112001,上仁木,,,112001,
112001,平日,2平日_18時10分_系統112001,上仁木,,,112001,
112001,平日,2平日_19時25分_系統112001,上仁木,,,112001,
112001,平日,2平日_20時40分_系統112001,上仁木,,,112001,
112001,平日,2平日_21時40分_系統112001,上仁木,,,112001,
112001,土日祝,3土日祝_16時40分_系統112001,上仁木,,,112001,
112001,土日祝,3土日祝_17時40分_系統112001,上仁木,,,112001,
112001,土日祝,3土日祝_18時10分_系統112001,上仁木,,,112001,
112001,土日祝,3土日祝_19時40分_系統112001,上仁木,,,112001,
112001,土日祝,3土日祝_20時40分_系統112001,上仁木,,,112001,
112002,平日,2平日_08時30分_系統112002,上仁木,,,112002,
112002,平日,2平日_10時40分_系統112002,上仁木,,,112002,
112002,平日,2平日_12時40分_系統112002,上仁木,,,112002,
112002,平日,2平日_14時40分_系統112002,上仁木,,,112002,
112002,平日,2平日_15時40分_系統112002,上仁木,,,112002,
112002,土日祝,3土日祝_08時30分_系統112002,上仁木,,,112002,
112002,土日祝,3土日祝_10時40分_系統112002,上仁木,,,112002,
112002,土日祝,3土日祝_12時40分_系統112002,上仁木,,,112002,
112002,土日祝,3土日祝_14時40分_系統112002,上仁木,,,112002,
112002,土日祝,3土日祝_15時40分_系統112002,上仁木,,,112002,
121001,平日,2平日_05時57分_系統121001,豊田市,,,121001,
121001,平日,2平日_06時43分_系統121001,豊田市,,,121001,
121001,平日,2平日_07時00分_系統121001,豊田市,,,121001,
121001,土日祝,3土日祝_07時00分_系統121001,豊田市,,,121001,
121002,平日,2平日_09時37分_系統121002,豊田市,,,121002,
121002,平日,2平日_11時37分_系統121002,豊田市,,,121002,
121002,平日,2平日_13時37分_系統121002,豊田市,,,121002,
121002,平日,2平日_15時37分_系統121002,豊田市,,,121002,
121002,土日祝,3土日祝_09時37分_系統121002,豊田市,,,121002,
121002,土日祝,3土日祝_11時37分_系統121002,豊田市,,,121002,
121002,土日祝,3土日祝_13時37分_系統121002,豊田市,,,121002,
121002,土日祝,3土日祝_15時37分_系統121002,豊田市,,,121002,
121003,平日,2平日_08時14分_系統121003,豊田市,,,121003,
121003,土日祝,3土日祝_08時18分_系統121003,豊田市,,,121003,
121004,平日,2平日_16時12分_系統121004,豊田市,,,121004,
122001,平日,2平日_07時25分_系統122001,藤岡中学校前,,,122001,
122001,平日,2平日_18時40分_系統122001,藤岡中学校前,,,122001,
122001,平日,2平日_20時10分_系統122001,藤岡中学校前,,,122001,
122001,土日祝,3土日祝_07時50分_系統122001,藤岡中学校前,,,122001,
122001,土日祝,3土日祝_18時40分_系統122001,藤岡中学校前,,,122001,
122002,平日,2平日_09時40分_系統122002,藤岡中学校前,,,122002,
122002,平日,2平日_11時40分_系統122002,藤岡中学校前,,,122002,
122002,平日,2平日_13時40分_系統122002,藤岡中学校前,,,122002,
122002,土日祝,3土日祝_09時40分_系統122002,藤岡中学校前,,,122002,
122002,土日祝,3土日祝_11時40分_系統122002,藤岡中学校前,,,122002,
122002,土日祝,3土日祝_13時40分_系統122002,藤岡中学校前,,,122002,
122003,平日,2平日_06時50分_系統122003,加茂丘高校前,,,122003,
122003,平日,2平日_07時40分_系統122003,加茂丘高校前,,,122003,
122003,土日祝,3土日祝_07時20分_系統122003,加茂丘高校前,,,122003,
131001,平日,2平日_06時00分_系統131001,豊田市,,,131001,
131001,平日,2平日_07時00分_系統131001,豊田市,,,131001,
131001,平日,2平日_07時25分_系統131001,豊田市,,,131001,
131001,平日,2平日_09時25分_系統131001,豊田市,,,131001,
131001,平日,2平日_10時25分_系統131001,豊田市,,,131001,
131001,平日,2平日_11時25分_系統131001,豊田市,,,131001,
131001,平日,2平日_13時25分_系統131001,豊田市,,,131001,
